Item Name,Count,Last Updated,Worlds
,133,2025-05-07 07:36 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Malboro, Mateus, Zalera, Jenova, Cactuar, Sargatanas, Leviathan, Hyperion, Ultros, Midgardsormr, Excalibur, Lamia, Gilgamesh, Faerie, Adamantoise, Behemoth, Famfrit"
Darksteel Nugget,14,2025-05-07 07:36 AM,"Brynhildr, Balmung, Diabolos, Goblin, Malboro, Mateus, Zalera, Jenova, Gilgamesh, Faerie, Behemoth, Cactuar, Excalibur, Siren"
Craftsman's Command Materia XII,13,2025-05-07 07:37 AM,"Mateus, Zalera, Lamia, Leviathan, Jenova, Gilgamesh, Faerie, Adamantoise, Exodus, Behemoth, Midgardsormr, Cactuar, Excalibur"
Timeworn Br'aaxskin Map,13,2025-05-07 07:36 AM,"Brynhildr, Balmung, Mateus, Zalera, Lamia, Jenova, Faerie, Adamantoise, Exodus, Behemoth, Excalibur, Siren, Sargatanas"
Craftsman's Competence Materia XI,12,2025-05-07 07:36 AM,"Coeurl, Goblin, Mateus, Lamia, Leviathan, Jenova, Ultros, Gilgamesh, Faerie, Adamantoise, Exodus, Famfrit"
Mate Cookie,12,2025-05-07 07:37 AM,"Goblin, Malboro, Mateus, Zalera, Hyperion, Ultros, Gilgamesh, Faerie, Exodus, Behemoth, Midgardsormr, Siren"
Black Star,11,2025-05-07 07:31 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Goblin, Mateus, Lamia, Hyperion, Gilgamesh, Adamantoise, Sargatanas"
Quickarm Materia XI,11,2025-05-07 07:34 AM,"Brynhildr, Coeurl, Diabolos, Goblin, Malboro, Zalera, Jenova, Ultros, Faerie, Exodus, Excalibur"
Quicktongue Materia XI,11,2025-05-07 07:33 AM,"Brynhildr, Coeurl, Goblin, Malboro, Mateus, Hyperion, Ultros, Faerie, Cactuar, Excalibur, Siren"
Battledance Materia XI,10,2025-05-07 07:37 AM,"Brynhildr, Diabolos, Goblin, Zalera, Jenova, Ultros, Faerie, Midgardsormr, Cactuar, Excalibur"
Gargantua Leather,10,2025-05-07 07:34 AM,"Brynhildr, Coeurl, Diabolos, Zalera, Gilgamesh, Adamantoise, Cactuar, Excalibur, Famfrit, Sargatanas"
Magitek Repair Materials,10,2025-05-07 07:35 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Goblin, Malboro, Leviathan, Jenova, Gilgamesh, Behemoth"
Claro Walnut Lumber,9,2025-05-07 07:37 AM,"Brynhildr, Goblin, Mateus, Zalera, Lamia, Gilgamesh, Adamantoise, Exodus, Excalibur"
Craftsman's Competence Materia XII,9,2025-05-07 07:36 AM,"Balmung, Coeurl, Diabolos, Leviathan, Jenova, Gilgamesh, Faerie, Exodus, Excalibur"
Gomphotherium Leather,9,2025-05-07 07:34 AM,"Brynhildr, Diabolos, Zalera, Lamia, Gilgamesh, Faerie, Adamantoise, Midgardsormr, Famfrit"
Purussaurus Leather,9,2025-05-07 07:35 AM,"Balmung, Goblin, Mateus, Zalera, Lamia, Ultros, Gilgamesh, Excalibur, Sargatanas"
Rroneek Chuck,9,2025-05-07 07:26 AM,"Brynhildr, Coeurl, Goblin, Malboro, Zalera, Leviathan, Gilgamesh, Excalibur, Sargatanas"
Savage Might Materia XI,9,2025-05-07 07:29 AM,"Brynhildr, Coeurl, Goblin, Mateus, Zalera, Jenova, Faerie, Exodus, Excalibur"
Tumbleclaw Weeds,9,2025-05-07 07:28 AM,"Balmung, Diabolos, Goblin, Malboro, Hyperion, Gilgamesh, Exodus, Excalibur, Sargatanas"
Yyasulani Garlic,9,2025-05-07 07:35 AM,"Diabolos, Goblin, Malboro, Zalera, Jenova, Gilgamesh, Behemoth, Famfrit, Sargatanas"
