Item Name,Count,Last Updated,Worlds
Heavens' Eye Materia XI,18,2025-04-07 11:45 AM,"Brynhildr, Balmung, Diabolos, Goblin, Mateus, Zalera, Adamantoise, Lamia, Leviathan, Behemoth, Jenova, Exodus, Midgardsormr, Cactuar, Famfrit, Excalibur, Sargatanas, Gilgamesh"
Heavens' Eye Materia XII,17,2025-04-07 11:45 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Mateus, Zalera, Adamantoise, Lamia, Behemoth, Jenova, Midgardsormr, Faerie, Cactuar, Siren, Famfrit, Excalibur, Sargatanas"
Timeworn Br'aaxskin Map,16,2025-04-07 11:45 AM,"Balmung, Coeurl, Diabolos, Mateus, Zalera, Adamantoise, Leviathan, Jenova, Midgardsormr, Faerie, Cactuar, Siren, Famfrit, Lamia, Sargatanas, Gilgamesh"
Ceremonial Bangle of Aiming,15,2025-04-07 11:45 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Goblin, Malboro, Mateus, Zalera, Lamia, Jenova, Exodus, Midgardsormr, Ultros, Excalibur, Gilgamesh"
Savage Aim Materia XI,15,2025-04-07 11:45 AM,"Balmung, Coeurl, Diabolos, Goblin, Mateus, Zalera, Adamantoise, Hyperion, Behemoth, Exodus, Midgardsormr, Faerie, Cactuar, Famfrit, Lamia"
Ceremonial Hood of Healing,14,2025-04-07 11:45 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Adamantoise, Behemoth, Jenova, Exodus, Midgardsormr, Faerie, Siren, Ultros, Famfrit, Lamia"
Ceremonial Necklace of Aiming,14,2025-04-07 11:44 AM,"Brynhildr, Balmung, Diabolos, Goblin, Mateus, Zalera, Lamia, Behemoth, Jenova, Exodus, Midgardsormr, Ultros, Excalibur, Gilgamesh"
Dichromatic Compound,14,2025-04-07 11:45 AM,"Brynhildr, Coeurl, Goblin, Malboro, Lamia, Leviathan, Behemoth, Midgardsormr, Faerie, Siren, Famfrit, Excalibur, Sargatanas, Gilgamesh"
Black Star,13,2025-04-07 11:45 AM,"Balmung, Diabolos, Goblin, Malboro, Lamia, Hyperion, Leviathan, Faerie, Cactuar, Famfrit, Excalibur, Sargatanas, Gilgamesh"
Craftsman's Competence Materia XI,13,2025-04-07 11:45 AM,"Coeurl, Diabolos, Zalera, Adamantoise, Leviathan, Behemoth, Jenova, Faerie, Cactuar, Ultros, Famfrit, Excalibur, Sargatanas"
